task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
187	14/6527dd	392764	EBIMETAGENOMICS:MOBILOMEANNOTATION:ICEFINDER2_LITE:REFINE_BOUNDARIES (b1)	CACHED	0	2026-08-19 13:30:44.745	413ms	1s	1172.8%	13.6 MB	18.9 MB	9.5 MB	827 B
179	03/1ba524	328658	EBIMETAGENOMICS:MOBILOMEANNOTATION:AMR_ANNOTATION:AMRINTEGRATOR (d)	CACHED	0	2026-08-21 11:22:38.140	31.8s	0ms	100.6%	13.9 MB	18.4 MB	4.8 MB	15.3 KB
186	5b/9e4f13	328674	EBIMETAGENOMICS:MOBILOMEANNOTATION:AMR_ANNOTATION:AMRINTEGRATOR (e)	CACHED	0	2026-08-21 11:22:38.147	31.7s	0ms	102.5%	12.3 MB	17.4 MB	4.8 MB	10.1 KB
184	63/422905	328643	EBIMETAGENOMICS:MOBILOMEANNOTATION:AMR_ANNOTATION:AMRINTEGRATOR (f)	CACHED	0	2026-08-21 11:22:38.127	31.6s	0ms	100.9%	14.9 MB	19.1 MB	4.8 MB	15.3 KB
182	06/23c3c4	328696	EBIMETAGENOMICS:MOBILOMEANNOTATION:AMR_ANNOTATION:AMRINTEGRATOR (b1)	CACHED	0	2026-08-21 11:22:38.153	31.7s	0ms	98.9%	12.4 MB	17.4 MB	4.8 MB	11.6 KB
188	fd/0cbf87	38049	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:PATHOFACT2_EXTRACTFASTA (b1)	CACHED	0	2026-08-20 11:52:18.535	722ms	1s	372.9%	13.7 MB	18.3 MB	10.2 MB	644.9 KB
183	df/f6f51d	328647	EBIMETAGENOMICS:MOBILOMEANNOTATION:AMR_ANNOTATION:AMRINTEGRATOR (a)	CACHED	0	2026-08-21 11:22:38.133	31.8s	0ms	99.9%	14.1 MB	18.7 MB	4.7 MB	13.6 KB
180	c8/ba9128	328723	EBIMETAGENOMICS:MOBILOMEANNOTATION:AMR_ANNOTATION:AMRINTEGRATOR (b2)	CACHED	0	2026-08-21 11:22:38.159	31.5s	0ms	101.3%	12.2 MB	17.2 MB	4.8 MB	13.7 KB
192	4c/2e1642	390832	EBIMETAGENOMICS:MOBILOMEANNOTATION:BGC_ANNOTATION:ANTISMASH_JSON2GFF (d)	CACHED	0	2026-08-19 13:30:42.346	885ms	1s	339.7%	15.9 MB	20.5 MB	27.5 MB	24.1 KB
197	c9/fd935c	391500	EBIMETAGENOMICS:MOBILOMEANNOTATION:BGC_ANNOTATION:ANTISMASH_JSON2GFF (b2)	CACHED	0	2026-08-19 13:30:43.236	806ms	0ms	376.6%	11.7 MB	17.1 MB	27.3 MB	19.2 KB
191	07/0ba825	38912	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:LOCALCDSEARCH_ANNOTATE (e)	CACHED	0	2026-08-20 11:52:19.544	42.5s	42s	466.2%	1.1 GB	1.9 GB	230.1 MB	124.7 MB
196	56/be92ab	56283	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:LOCALCDSEARCH_ANNOTATE (f)	CACHED	0	2026-08-20 11:56:06.102	50.8s	50s	489.2%	1.2 GB	2.2 GB	279.1 MB	155.8 MB
194	20/4f30c7	49522	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:LOCALCDSEARCH_ANNOTATE (b2)	CACHED	0	2026-08-20 11:54:36.775	48.5s	49s	493.6%	1.1 GB	2.2 GB	264.1 MB	145 MB
193	16/26a479	41827	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:LOCALCDSEARCH_ANNOTATE (d)	CACHED	0	2026-08-20 11:53:02.031	51.5s	51s	490.4%	1.2 GB	2.2 GB	279.1 MB	155.8 MB
195	27/7a0c8f	45931	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:LOCALCDSEARCH_ANNOTATE (a)	CACHED	0	2026-08-20 11:53:53.575	43.2s	43s	494.3%	1.1 GB	1.9 GB	246.2 MB	134.5 MB
198	be/530d33	52953	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:LOCALCDSEARCH_ANNOTATE (b1)	CACHED	0	2026-08-20 11:55:25.301	40.8s	40s	489.7%	1.1 GB	1.9 GB	238.3 MB	131.8 MB
206	4a/06c18f	59011	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:PATHOFACT2_INTEGRATOR (d)	CACHED	0	2026-08-20 11:56:56.916	12.3s	0ms	87.0%	12.9 MB	18.1 MB	2 MB	281.2 KB
208	0c/6a81db	59024	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:PATHOFACT2_INTEGRATOR (a)	CACHED	0	2026-08-20 11:56:56.919	11.7s	0ms	108.7%	13.5 MB	18.2 MB	2 MB	251.9 KB
203	fe/ec5cda	393043	EBIMETAGENOMICS:MOBILOMEANNOTATION:BGC_ANNOTATION:BGCSMAPPER (b2)	CACHED	0	2026-08-19 13:30:44.963	27s	0ms	98.6%	12 MB	17.1 MB	11.5 MB	29.3 KB
204	e3/ad4526	59481	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:PATHOFACT2_INTEGRATOR (b2)	CACHED	0	2026-08-20 11:57:08.589	429ms	0ms	84.2%	13 MB	18.1 MB	2 MB	271.7 KB
202	4a/6771e9	393146	EBIMETAGENOMICS:MOBILOMEANNOTATION:BGC_ANNOTATION:BGCSMAPPER (b1)	CACHED	0	2026-08-19 13:30:45.166	26.8s	0ms	97.1%	11.5 MB	16.7 MB	11.5 MB	37.3 KB
210	21/846a79	59949	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:PATHOFACT2_INTEGRATOR (b1)	CACHED	0	2026-08-20 11:57:09.023	357ms	0ms	87.0%	13 MB	18.1 MB	1.9 MB	228.9 KB
200	ce/3ed44c	59008	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:PATHOFACT2_INTEGRATOR (e)	CACHED	0	2026-08-20 11:56:56.913	12.2s	0ms	84.2%	13.8 MB	18.2 MB	2 MB	242.5 KB
201	c0/13aeb3	393719	EBIMETAGENOMICS:MOBILOMEANNOTATION:BGC_ANNOTATION:BGCSMAPPER (f)	CACHED	0	2026-08-19 13:31:11.958	678ms	0ms	100.8%	12.4 MB	17.1 MB	11.5 MB	38.4 KB
199	c2/d217cc	393712	EBIMETAGENOMICS:MOBILOMEANNOTATION:BGC_ANNOTATION:BGCSMAPPER (e)	CACHED	0	2026-08-19 13:31:11.954	674ms	0ms	99.2%	14.3 MB	18.4 MB	11.5 MB	119.1 KB
209	4b/0d891f	60069	EBIMETAGENOMICS:MOBILOMEANNOTATION:PATHOFACT2:PATHOFACT2_INTEGRATOR (f)	CACHED	0	2026-08-20 11:57:09.089	314ms	0ms	106.4%	13.3 MB	18.2 MB	2 MB	281.2 KB
205	f9/95c8eb	393145	EBIMETAGENOMICS:MOBILOMEANNOTATION:BGC_ANNOTATION:BGCSMAPPER (a)	CACHED	0	2026-08-19 13:30:45.163	27.6s	0ms	100.6%	11.6 MB	16.8 MB	11.5 MB	30.5 KB
207	ea/86ff5c	394306	EBIMETAGENOMICS:MOBILOMEANNOTATION:BGC_ANNOTATION:BGCSMAPPER (d)	CACHED	0	2026-08-19 13:31:12.631	672ms	1s	100.5%	12.3 MB	17.1 MB	11.5 MB	38.4 KB
12	61/8d6f06	360816	EBIMETAGENOMICS:MOBILOMEANNOTATION:ISESCAN (e)	COMPLETED	0	2026-08-21 14:04:11.754	8h 43m 50s	8h 43m 49s	106.0%	43.7 GB	52.3 GB	1 GB	118.2 MB
211	47/c44052	467676	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRATOR (f)	COMPLETED	0	2026-08-21 22:48:02.093	1m 45s	1m 19s	104.8%	59.5 MB	8.5 GB	7.2 MB	5.6 KB
212	77/fe60aa	467639	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRATOR (a)	COMPLETED	0	2026-08-21 22:48:02.085	1m 45s	1m 20s	103.4%	52.6 MB	8.5 GB	7.2 MB	5 KB
214	a4/debf93	467597	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRATOR (d)	COMPLETED	0	2026-08-21 22:48:02.070	1m 46s	1m 20s	102.8%	60.2 MB	8.5 GB	7.2 MB	5.6 KB
218	b7/3fb1b1	476365	EBIMETAGENOMICS:MOBILOMEANNOTATION:FASTA_WRITER (f)	COMPLETED	0	2026-08-21 22:49:46.623	5s	0ms	92.2%	3.3 MB	5.4 MB	6.3 MB	1.3 MB
222	43/7876ac	476646	EBIMETAGENOMICS:MOBILOMEANNOTATION:FASTA_WRITER (d)	COMPLETED	0	2026-08-21 22:49:48.119	3.6s	0ms	94.5%	3.2 MB	5.4 MB	6.3 MB	1.3 MB
220	70/32c2ce	476504	EBIMETAGENOMICS:MOBILOMEANNOTATION:FASTA_WRITER (a)	COMPLETED	0	2026-08-21 22:49:47.561	4.2s	0ms	71.0%	3.3 MB	5.4 MB	5.4 MB	965.8 KB
219	c8/476cd2	476507	EBIMETAGENOMICS:MOBILOMEANNOTATION:GT_GFF3VALIDATOR (a)	COMPLETED	0	2026-08-21 22:49:47.568	31.5s	0ms	93.8%	3.2 MB	5.4 MB	199.7 KB	37.2 KB
221	b3/ae0994	476648	EBIMETAGENOMICS:MOBILOMEANNOTATION:GT_GFF3VALIDATOR (d)	COMPLETED	0	2026-08-21 22:49:48.125	31s	0ms	108.8%	3.1 MB	5.4 MB	202.7 KB	40 KB
217	06/1ed37c	476373	EBIMETAGENOMICS:MOBILOMEANNOTATION:GT_GFF3VALIDATOR (f)	COMPLETED	0	2026-08-21 22:49:46.634	32.5s	0ms	132.2%	3.1 MB	5.4 MB	202.7 KB	40 KB
213	70/935ad2	467582	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRATOR (b2)	COMPLETED	0	2026-08-21 22:48:02.062	2m 37s	2m 11s	103.8%	66.8 MB	8.5 GB	7.2 MB	44.7 KB
223	e7/15c3cf	480056	EBIMETAGENOMICS:MOBILOMEANNOTATION:GT_GFF3VALIDATOR (b2)	COMPLETED	0	2026-08-21 22:50:38.712	547ms	1s	111.0%	3.1 MB	5.4 MB	201.3 KB	39 KB
