task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	49/2b4900	45565	DOWNLOAD_DATABASES:RGI_DOWNLOADDB	COMPLETED	0	2026-08-18 12:48:51.605	2.4s	2s	30.9%	9.6 MB	18.1 MB	56.7 MB	88.5 MB
4	48/33003b	45588	DOWNLOAD_DATABASES:LOCALCDSEARCH_DOWNLOAD (cdd)	COMPLETED	0	2026-08-18 12:48:51.611	2m 16s	2m 15s	11.0%	45.2 MB	260.8 MB	3.3 GB	5.2 GB
8	a4/cc39b5	45546	DOWNLOAD_DATABASES:ANTISMASH_ANTISMASHDOWNLOADDATABASES	COMPLETED	0	2026-08-18 12:48:51.600	2m 26s	2m 26s	80.4%	2.2 GB	6.9 GB	10.4 GB	13 GB
1	1d/98a041	55067	DOWNLOAD_DATABASES:AMRFINDERPLUS_UPDATE (update)	COMPLETED	0	2026-08-18 12:51:17.519	23.3s	23s	28.1%	16.6 MB	157.9 MB	600.6 MB	523.2 MB
2	27/b030c9	46700	DOWNLOAD_DATABASES:DB_DOWNLOAD_MOBILOME_DBS	FAILED	0	2026-08-18 12:48:53.980	2m 55s	2m 54s	9.2%	9.7 MB	18.1 MB	3.2 GB	3.9 GB
10	3d/83cc52	57711	DOWNLOAD_DATABASES:DB_UNTAR_AMRFINDERPLUS	COMPLETED	0	2026-08-18 12:51:49.109	1.2s	1s	114.6%	5.2 MB	10 MB	282.7 MB	481.1 MB
3	40/b8441b	56836	DOWNLOAD_DATABASES:PATHOFACT2_DOWNLOADDATA (${task.process})	COMPLETED	0	2026-08-18 12:51:40.873	15.7s	15s	2.7%	83.8 MB	155.2 MB	125 MB	122.7 MB
6	03/ec1368	45536	DOWNLOAD_DATABASES:CHECKV_DOWNLOADDATABASE	COMPLETED	0	2026-08-18 12:48:51.589	3m 49s	3m 48s	22.4%	1.2 GB	4.4 GB	4 GB	7.9 GB
5	ee/7293fe	53876	DOWNLOAD_DATABASES:DEEPARG_DOWNLOADDATA	COMPLETED	0	2026-08-18 12:51:07.170	2m 2s	2m 1s	24.4%	87.8 MB	2.7 GB	3.5 GB	4.8 GB
