task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	93/a608aa	41268	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (f)	COMPLETED	0	2026-08-19 12:11:56.033	18.5s	0ms	401.9%	12.9 MB	17.8 MB	12.2 MB	14.9 MB
2	e9/cb65bd	41256	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (b1)	COMPLETED	0	2026-08-19 12:11:56.023	18.5s	0ms	310.6%	12.2 MB	17.8 MB	11.6 MB	13.2 MB
5	5e/b8de9b	41308	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (e)	COMPLETED	0	2026-08-19 12:11:56.044	18.5s	0ms	515.2%	12.7 MB	17.8 MB	11.6 MB	13 MB
3	38/26d4a7	41341	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (b2)	COMPLETED	0	2026-08-19 12:11:56.051	18.6s	0ms	316.8%	11.9 MB	17.5 MB	12 MB	14.4 MB
16	ba/0e9126	-	EBIMETAGENOMICS:MOBILOMEANNOTATION:ISESCAN (e)	FAILED	-	-	-	-	-	-	-	-	-
4	ad/3c94c7	41285	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (d)	ABORTED	-	2026-08-19 12:11:56.038	-	-	-	-	-	-	-
1	5e/0f1753	42377	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (a)	ABORTED	-	2026-08-19 12:12:14.557	-	-	-	-	-	-	-
12	dc/d71fc2	42474	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (e)	ABORTED	-	2026-08-19 12:12:14.580	-	-	-	-	-	-	-
9	a7/5032ec	42504	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (b1)	ABORTED	-	2026-08-19 12:12:14.617	-	-	-	-	-	-	-
