task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b2/48d8e2	274630	DOWNLOAD_DATABASES:LOCALCDSEARCH_DOWNLOAD (cdd)	FAILED	1	2026-08-18 15:03:07.408	108ms	67ms	-	-	-	-	-
5	a0/f1ed22	274491	DOWNLOAD_DATABASES:ANTISMASH_ANTISMASHDOWNLOADDATABASES	FAILED	1	2026-08-18 15:03:07.354	157ms	71ms	-	-	-	-	-
9	29/ddcfd3	274564	DOWNLOAD_DATABASES:AMRFINDERPLUS_UPDATE (update)	FAILED	1	2026-08-18 15:03:07.390	124ms	67ms	-	-	-	-	-
4	9e/6047d5	274504	DOWNLOAD_DATABASES:PATHOFACT2_DOWNLOADDATA (${task.process})	FAILED	1	2026-08-18 15:03:07.363	149ms	70ms	-	-	-	-	-
3	52/3c3c12	274653	DOWNLOAD_DATABASES:DB_DOWNLOAD_MOBILOME_DBS	FAILED	1	2026-08-18 15:03:07.415	102ms	66ms	-	-	-	-	-
6	8a/2b500b	274544	DOWNLOAD_DATABASES:RGI_DOWNLOADDB	FAILED	1	2026-08-18 15:03:07.381	132ms	67ms	-	-	-	-	-
7	38/9b77cc	274529	DOWNLOAD_DATABASES:DEEPARG_DOWNLOADDATA	FAILED	1	2026-08-18 15:03:07.373	139ms	68ms	-	-	-	-	-
2	1b/362381	274613	DOWNLOAD_DATABASES:DB_DOWNLOAD_VFDB	FAILED	1	2026-08-18 15:03:07.401	114ms	67ms	-	-	-	-	-
8	de/f6223a	274475	DOWNLOAD_DATABASES:CHECKV_DOWNLOADDATABASE	FAILED	1	2026-08-18 15:03:07.338	167ms	71ms	-	-	-	-	-
