GenBank accession	Is target	Is sampled (100 genomes)	Is sampled (1000 genomes)
GCA_012029495.1	TRUE	FALSE	FALSE
GCA_004112135.1	TRUE	FALSE	FALSE
GCA_000679155.1	TRUE	FALSE	FALSE
GCA_024651665.1	TRUE	FALSE	FALSE
GCA_900120825.1	TRUE	FALSE	FALSE
GCA_001392755.1	TRUE	FALSE	FALSE
GCA_000661635.1	TRUE	FALSE	FALSE
GCA_000665585.1	TRUE	FALSE	FALSE
GCA_046638515.1	TRUE	FALSE	FALSE
GCA_001841475.1	TRUE	FALSE	FALSE
GCA_001385415.1	TRUE	FALSE	FALSE
GCA_001841945.1	TRUE	FALSE	FALSE
GCA_001322885.1	TRUE	FALSE	FALSE
GCA_001445075.1	TRUE	FALSE	FALSE
GCA_001381355.1	TRUE	FALSE	FALSE
GCA_001388635.1	TRUE	FALSE	FALSE
GCA_004109605.1	TRUE	FALSE	FALSE
GCA_003396785.1	TRUE	FALSE	FALSE
GCA_001322045.1	TRUE	FALSE	FALSE
GCA_000445775.1	TRUE	FALSE	FALSE
GCA_001322865.1	TRUE	FALSE	FALSE
GCA_040949315.1	TRUE	FALSE	FALSE
GCA_000655955.1	TRUE	FALSE	FALSE
GCA_000661305.1	TRUE	FALSE	FALSE
GCA_004110305.1	TRUE	FALSE	FALSE
GCA_004135525.1	TRUE	FALSE	FALSE
GCA_900123585.1	TRUE	FALSE	FALSE
GCA_031626055.1	TRUE	FALSE	FALSE
GCA_001378575.1	TRUE	FALSE	FALSE
GCA_001097745.1	TRUE	FALSE	FALSE
GCA_000663585.1	TRUE	FALSE	FALSE
GCA_000652615.1	TRUE	FALSE	FALSE
GCA_030573615.1	TRUE	FALSE	FALSE
GCA_004107565.1	TRUE	FALSE	TRUE
GCA_009825355.1	TRUE	FALSE	TRUE
GCA_000676975.1	TRUE	FALSE	FALSE
GCA_900122705.1	TRUE	FALSE	FALSE
GCA_000661285.1	TRUE	FALSE	FALSE
GCA_000669195.1	TRUE	FALSE	FALSE
GCA_000165695.1	TRUE	FALSE	FALSE
GCA_001945325.1	TRUE	FALSE	FALSE
GCA_001943205.1	TRUE	FALSE	FALSE
GCA_003392745.1	TRUE	FALSE	FALSE
GCA_001843845.1	TRUE	FALSE	FALSE
GCA_001326115.1	TRUE	FALSE	FALSE
GCA_001389235.1	TRUE	FALSE	FALSE
GCA_040949165.1	TRUE	FALSE	TRUE
GCA_001946835.1	TRUE	FALSE	FALSE
GCA_000653215.1	TRUE	FALSE	FALSE
GCA_003395195.1	TRUE	FALSE	FALSE
GCA_001849995.1	TRUE	FALSE	FALSE
GCA_900120955.1	TRUE	FALSE	FALSE
GCA_000665145.1	TRUE	FALSE	FALSE
GCA_018109255.1	TRUE	FALSE	FALSE
GCA_000665665.1	TRUE	FALSE	FALSE
GCA_040063695.1	TRUE	FALSE	FALSE
GCA_002131295.1	TRUE	FALSE	FALSE
GCA_002130665.1	TRUE	FALSE	FALSE
GCA_001200495.1	TRUE	FALSE	FALSE
GCA_000658115.1	TRUE	FALSE	FALSE
GCA_003395265.1	TRUE	FALSE	FALSE
GCA_003395485.1	TRUE	FALSE	FALSE
GCA_000177895.2	TRUE	FALSE	FALSE
GCA_014900455.1	TRUE	FALSE	FALSE
GCA_001839725.1	TRUE	FALSE	FALSE
GCA_004112145.1	TRUE	FALSE	FALSE
GCA_001841905.1	TRUE	FALSE	FALSE
GCA_001282535.1	TRUE	FALSE	TRUE
GCA_001942965.1	TRUE	FALSE	FALSE
GCA_001840435.1	TRUE	FALSE	FALSE
GCA_001386895.1	TRUE	FALSE	FALSE
GCA_001328315.1	TRUE	FALSE	FALSE
GCA_001850685.1	TRUE	FALSE	FALSE
GCA_000677715.1	TRUE	FALSE	FALSE
GCA_001842895.1	TRUE	FALSE	TRUE
GCA_003392275.1	TRUE	FALSE	FALSE
GCA_002447175.1	TRUE	FALSE	FALSE
GCA_001376035.1	TRUE	FALSE	TRUE
GCA_003396485.1	TRUE	TRUE	TRUE
GCA_000676395.1	TRUE	FALSE	FALSE
GCA_004121465.1	TRUE	FALSE	FALSE
GCA_003287165.1	TRUE	FALSE	FALSE
GCA_000674335.1	TRUE	FALSE	FALSE
GCA_015687015.1	TRUE	FALSE	FALSE
GCA_004327665.1	TRUE	FALSE	FALSE
GCA_001947995.1	TRUE	FALSE	FALSE
GCA_001385735.1	TRUE	FALSE	FALSE
GCA_001322825.1	TRUE	FALSE	FALSE
GCA_001318525.1	TRUE	FALSE	FALSE
GCA_001192575.1	TRUE	FALSE	FALSE
GCA_001318025.1	TRUE	FALSE	FALSE
GCA_001195185.1	TRUE	TRUE	TRUE
GCA_001842505.1	TRUE	FALSE	FALSE
GCA_001395935.1	TRUE	FALSE	FALSE
GCA_000678655.1	TRUE	FALSE	TRUE
GCA_012163335.1	TRUE	FALSE	FALSE
GCA_001847245.1	TRUE	FALSE	TRUE
GCA_001445115.1	TRUE	FALSE	FALSE
GCA_001325585.1	TRUE	FALSE	FALSE
GCA_001318925.1	TRUE	FALSE	FALSE
GCA_008014435.1	TRUE	FALSE	TRUE
GCA_014900695.1	TRUE	FALSE	FALSE
GCA_001392775.1	TRUE	FALSE	FALSE
GCA_000659045.1	TRUE	FALSE	FALSE
GCA_038955375.1	TRUE	FALSE	FALSE
GCA_001088225.1	TRUE	FALSE	FALSE
GCA_025916385.1	TRUE	FALSE	FALSE
GCA_001207215.1	TRUE	FALSE	FALSE
GCA_000650415.1	TRUE	FALSE	FALSE
GCA_004109615.1	TRUE	FALSE	FALSE
GCA_001323805.1	TRUE	FALSE	FALSE
GCA_002357975.1	TRUE	FALSE	TRUE
GCA_001379995.1	TRUE	FALSE	FALSE
GCA_000678595.1	TRUE	FALSE	FALSE
GCA_963993135.1	TRUE	FALSE	FALSE
GCA_001389135.1	TRUE	FALSE	FALSE
GCA_003393935.1	TRUE	FALSE	FALSE
GCA_001851925.1	TRUE	FALSE	FALSE
GCA_000669755.1	TRUE	TRUE	TRUE
GCA_001378195.1	TRUE	FALSE	FALSE
GCA_014900195.1	TRUE	FALSE	FALSE
GCA_000673355.1	TRUE	FALSE	FALSE
GCA_001849385.1	TRUE	FALSE	FALSE
GCA_003393555.1	TRUE	FALSE	FALSE
GCA_001997465.1	TRUE	FALSE	FALSE
GCA_900121495.1	TRUE	FALSE	FALSE
GCA_000655195.1	TRUE	FALSE	FALSE
GCA_000651835.1	TRUE	FALSE	FALSE
GCA_000676735.1	TRUE	FALSE	FALSE
GCA_000658175.1	TRUE	FALSE	FALSE
GCA_000661385.1	TRUE	FALSE	FALSE
GCA_001378735.1	TRUE	FALSE	TRUE
GCA_003006115.1	TRUE	FALSE	FALSE
GCA_002447775.1	TRUE	FALSE	FALSE
GCA_001383215.1	TRUE	TRUE	TRUE
GCA_003398025.1	TRUE	FALSE	FALSE
GCA_003394765.1	TRUE	FALSE	TRUE
GCA_004113335.1	TRUE	FALSE	FALSE
GCA_004108685.1	TRUE	FALSE	FALSE
GCA_030566935.1	TRUE	FALSE	FALSE
GCA_900121535.1	TRUE	FALSE	FALSE
GCA_030238585.1	TRUE	FALSE	FALSE
GCA_001949095.1	TRUE	FALSE	FALSE
GCA_001388895.1	TRUE	FALSE	FALSE
GCA_000667865.1	TRUE	FALSE	FALSE
GCA_001204535.1	TRUE	FALSE	FALSE
GCA_001389415.1	TRUE	FALSE	FALSE
GCA_000695365.1	TRUE	FALSE	FALSE
GCA_003397955.1	TRUE	FALSE	FALSE
GCA_000674415.1	TRUE	FALSE	FALSE
GCA_900124335.1	TRUE	FALSE	FALSE
GCA_004112025.1	TRUE	FALSE	FALSE
GCA_001944215.1	TRUE	FALSE	FALSE
GCA_001841965.1	TRUE	FALSE	FALSE
GCA_001853085.1	TRUE	FALSE	FALSE
GCA_900124455.1	TRUE	FALSE	FALSE
GCA_037623875.1	TRUE	FALSE	FALSE
GCA_001376195.1	TRUE	FALSE	FALSE
GCA_001844945.1	TRUE	FALSE	FALSE
GCA_001947605.1	TRUE	FALSE	FALSE
GCA_000673615.1	TRUE	FALSE	FALSE
GCA_025819575.1	TRUE	FALSE	FALSE
GCA_001318885.1	TRUE	FALSE	FALSE
GCA_019075575.1	TRUE	FALSE	FALSE
GCA_001321905.1	TRUE	FALSE	FALSE
GCA_004104665.1	TRUE	FALSE	FALSE
GCA_001846965.1	TRUE	FALSE	FALSE
GCA_001445515.1	TRUE	FALSE	FALSE
GCA_001395915.1	TRUE	FALSE	FALSE
GCA_001376135.1	TRUE	FALSE	TRUE
GCA_001318665.1	TRUE	FALSE	FALSE
GCA_000677635.1	TRUE	FALSE	FALSE
GCA_001270365.1	TRUE	FALSE	FALSE
GCA_040946685.1	TRUE	FALSE	FALSE
GCA_001383935.1	TRUE	FALSE	FALSE
GCA_000657495.1	TRUE	FALSE	FALSE
GCA_900124555.1	TRUE	FALSE	FALSE
GCA_037076335.1	TRUE	FALSE	FALSE
GCA_900127545.1	TRUE	FALSE	FALSE
GCA_000656795.1	TRUE	FALSE	FALSE
GCA_015687025.1	TRUE	FALSE	FALSE
GCA_003399405.1	TRUE	FALSE	FALSE
GCA_003392895.1	TRUE	FALSE	FALSE
GCA_001328195.1	TRUE	FALSE	FALSE
GCA_001947345.1	TRUE	FALSE	FALSE
GCA_001379875.1	TRUE	FALSE	FALSE
GCA_001946725.1	TRUE	FALSE	FALSE
GCA_900123685.1	TRUE	FALSE	TRUE
GCA_900121615.1	TRUE	FALSE	FALSE
GCA_001381915.1	TRUE	FALSE	FALSE
GCA_000658635.1	TRUE	FALSE	FALSE
GCA_020683845.1	TRUE	FALSE	TRUE
GCA_001393695.1	TRUE	FALSE	FALSE
GCA_000668715.1	TRUE	FALSE	FALSE
GCA_000653075.1	TRUE	FALSE	FALSE
GCA_000658235.1	TRUE	FALSE	FALSE
GCA_004108785.1	TRUE	FALSE	FALSE
GCA_000676535.1	TRUE	FALSE	FALSE
GCA_001391215.1	TRUE	FALSE	FALSE
GCA_001381055.1	TRUE	FALSE	TRUE
GCA_051132375.1	TRUE	FALSE	TRUE
GCA_007989935.1	TRUE	FALSE	FALSE
GCA_014900075.1	TRUE	FALSE	FALSE
GCA_932527325.1	TRUE	FALSE	FALSE
GCA_000666585.1	TRUE	FALSE	FALSE
GCA_002447295.1	TRUE	FALSE	FALSE
GCA_001947675.1	TRUE	FALSE	FALSE
GCA_001947535.1	TRUE	FALSE	FALSE
GCA_000676015.1	TRUE	FALSE	FALSE
GCA_001378775.1	TRUE	FALSE	FALSE
GCA_001844735.1	TRUE	FALSE	FALSE
GCA_004113945.1	TRUE	FALSE	FALSE
GCA_008762315.1	TRUE	FALSE	FALSE
GCA_001318845.1	TRUE	FALSE	FALSE
GCA_030575355.1	TRUE	FALSE	FALSE
GCA_001383875.1	TRUE	FALSE	FALSE
GCA_900122545.1	TRUE	FALSE	TRUE
GCA_900122135.1	TRUE	FALSE	FALSE
GCA_022870405.1	TRUE	FALSE	FALSE
GCA_011392565.1	TRUE	FALSE	FALSE
GCA_003398445.1	TRUE	FALSE	FALSE
GCA_020683345.1	TRUE	FALSE	FALSE
GCA_001350655.1	TRUE	FALSE	FALSE
GCA_001102685.1	TRUE	FALSE	FALSE
GCA_001376995.1	TRUE	FALSE	FALSE
GCA_007859485.1	TRUE	FALSE	FALSE
GCA_001842045.1	TRUE	FALSE	FALSE
GCA_000651435.1	TRUE	FALSE	FALSE
GCA_040063365.1	TRUE	FALSE	FALSE
GCA_001942735.1	TRUE	TRUE	TRUE
GCA_000652355.1	TRUE	FALSE	FALSE
GCA_001051255.1	TRUE	FALSE	FALSE
GCA_001947505.1	TRUE	FALSE	FALSE
GCA_001323065.1	TRUE	FALSE	FALSE
GCA_001381795.1	TRUE	FALSE	FALSE
GCA_900124295.1	TRUE	FALSE	TRUE
GCA_900123435.1	TRUE	FALSE	FALSE
GCA_001384975.1	TRUE	FALSE	TRUE
GCA_001318605.1	TRUE	FALSE	FALSE
GCA_002131335.1	TRUE	FALSE	FALSE
GCA_000655915.1	TRUE	FALSE	FALSE
GCA_001847595.1	TRUE	FALSE	FALSE
GCA_030867025.1	TRUE	FALSE	FALSE
GCA_004113225.1	TRUE	FALSE	FALSE
GCA_001393155.1	TRUE	FALSE	FALSE
GCA_004107445.1	TRUE	FALSE	FALSE
GCA_001323365.1	TRUE	FALSE	FALSE
GCA_001840395.1	TRUE	FALSE	FALSE
GCA_018596165.1	TRUE	FALSE	FALSE
GCA_000666605.1	TRUE	FALSE	TRUE
GCA_000658355.1	TRUE	FALSE	FALSE
GCA_900122725.1	TRUE	FALSE	FALSE
GCA_001944295.1	TRUE	FALSE	TRUE
GCA_001945935.1	TRUE	FALSE	FALSE
