GenBank accession	Is target	Is sampled (100 genomes)	Is sampled (1000 genomes)
GCA_001833895.1	TRUE	FALSE	FALSE
GCA_003064345.1	TRUE	FALSE	FALSE
GCA_003430935.1	TRUE	FALSE	TRUE
GCA_016025395.1	TRUE	FALSE	FALSE
GCA_001360535.1	TRUE	FALSE	FALSE
GCA_001148045.1	TRUE	FALSE	FALSE
GCA_001275195.1	TRUE	FALSE	FALSE
GCA_002061615.1	TRUE	FALSE	FALSE
GCA_037480155.1	TRUE	FALSE	FALSE
GCA_002289225.1	TRUE	FALSE	FALSE
GCA_001121125.1	TRUE	FALSE	FALSE
GCA_004292235.1	TRUE	FALSE	FALSE
GCA_002047025.1	TRUE	FALSE	FALSE
GCA_025629005.1	TRUE	FALSE	FALSE
GCA_001317585.1	TRUE	FALSE	FALSE
GCA_050584645.1	TRUE	FALSE	FALSE
GCA_003120515.1	TRUE	FALSE	FALSE
GCA_001478295.1	TRUE	FALSE	FALSE
GCA_000624055.2	TRUE	FALSE	FALSE
GCA_002038255.1	TRUE	FALSE	FALSE
GCA_045343955.1	TRUE	FALSE	FALSE
GCA_002074515.1	TRUE	FALSE	FALSE
GCA_028893475.1	TRUE	FALSE	FALSE
GCA_015697745.1	TRUE	FALSE	FALSE
GCA_034651235.1	TRUE	FALSE	FALSE
GCA_036350575.1	TRUE	FALSE	FALSE
GCA_001245115.1	TRUE	FALSE	TRUE
GCA_002059325.1	TRUE	FALSE	FALSE
GCA_002034225.1	TRUE	FALSE	FALSE
GCA_015024135.1	TRUE	FALSE	FALSE
GCA_049311875.1	TRUE	FALSE	FALSE
GCA_002064875.1	TRUE	FALSE	FALSE
GCA_002091235.1	TRUE	FALSE	TRUE
GCA_900478235.1	TRUE	FALSE	FALSE
GCA_002914435.1	TRUE	FALSE	FALSE
GCA_002926495.1	TRUE	FALSE	FALSE
GCA_002047885.1	TRUE	FALSE	FALSE
GCA_000983705.1	TRUE	FALSE	FALSE
GCA_001365875.1	TRUE	FALSE	FALSE
GCA_041362995.1	TRUE	FALSE	FALSE
GCA_001955295.1	TRUE	FALSE	FALSE
GCA_002042785.1	TRUE	FALSE	FALSE
GCA_947053125.1	TRUE	FALSE	FALSE
GCA_003064205.1	TRUE	FALSE	FALSE
GCA_001240125.1	TRUE	FALSE	FALSE
GCA_001535095.1	TRUE	FALSE	FALSE
GCA_001138305.1	TRUE	FALSE	FALSE
GCA_014394985.2	TRUE	FALSE	FALSE
GCA_001363915.1	TRUE	FALSE	FALSE
GCA_001295675.1	TRUE	FALSE	FALSE
GCA_014858545.1	TRUE	FALSE	FALSE
GCA_014121405.1	TRUE	FALSE	FALSE
GCA_002048165.1	TRUE	FALSE	FALSE
GCA_900033715.1	TRUE	FALSE	FALSE
GCA_001134005.1	TRUE	FALSE	FALSE
GCA_001125205.1	TRUE	FALSE	FALSE
GCA_030913615.1	TRUE	FALSE	FALSE
GCA_041362575.1	TRUE	FALSE	FALSE
GCA_003066685.1	TRUE	FALSE	FALSE
GCA_006517135.1	TRUE	FALSE	FALSE
GCA_037481535.1	TRUE	FALSE	FALSE
GCA_004291925.1	TRUE	FALSE	FALSE
GCA_001972955.1	TRUE	FALSE	TRUE
GCA_000626095.2	TRUE	FALSE	FALSE
GCA_001955165.1	TRUE	FALSE	FALSE
GCA_003118215.1	TRUE	FALSE	FALSE
GCA_009884375.1	TRUE	FALSE	FALSE
GCA_000962275.1	TRUE	FALSE	FALSE
GCA_051066855.1	TRUE	FALSE	FALSE
GCA_002060215.1	TRUE	FALSE	FALSE
GCA_000495175.2	TRUE	FALSE	FALSE
